Filename,Component,Volume,Centerline Length
320_pos-supine_colon_segmentation_v2.mha,1,3124894.363066296,24174
321_pos-supine_colon_segmentation_v2.mha,1,968027.2124755868,6838
327_pos-prone_colon_segmentation_v2.mha,1,1455879.8348876955,5067
330_pos-supine_colon_segmentation_v2.mha,1,73399.13085937499,639
330_pos-supine_colon_segmentation_v2.mha,2,20392.3828125,112
330_pos-supine_colon_segmentation_v2.mha,3,837123.1347656249,7007
330_pos-supine_colon_segmentation_v2.mha,4,1093.9746093749998,22
330_pos-supine_colon_segmentation_v2.mha,5,335260.50292968744,1811
330_pos-supine_colon_segmentation_v2.mha,6,366.240234375,4
330_pos-supine_colon_segmentation_v2.mha,7,1608.5302734374998,53
332_pos-prone_colon_segmentation_v2.mha,1,1734568.8946655274,28654
334_pos-prone_colon_segmentation_v2.mha,1,2090455.56640625,19899
335_pos-prone_colon_segmentation_v2.mha,1,1631394.04296875,15451
335_pos-supine_colon_segmentation_v2.mha,1,1653979.98046875,17334
338_pos-supine_colon_segmentation_v2.mha,1,1727648.4375,17297
339_pos-prone_colon_segmentation_v2.mha,1,447798.33984375,3293
339_pos-prone_colon_segmentation_v2.mha,2,1538829.1015625,6669
339_pos-supine_colon_segmentation_v2.mha,1,2774582.03125,9639
339_pos-supine_colon_segmentation_v2.mha,2,594.7265625,32
354_pos-prone_colon_segmentation_v2.mha,1,832059.1406250006,4013
354_pos-prone_colon_segmentation_v2.mha,2,370674.8437500002,964
355_pos-prone_colon_segmentation_v2.mha,1,1100164.5964958356,10004
355_pos-prone_colon_segmentation_v2.mha,2,677488.3923889562,7276
355_pos-supine_colon_segmentation_v2.mha,1,64163.0808,549
355_pos-supine_colon_segmentation_v2.mha,2,1039415.8889088,14927
355_pos-supine_colon_segmentation_v2.mha,3,3013.5950208,38
355_pos-supine_colon_segmentation_v2.mha,4,2962.3434048,106
355_pos-supine_colon_segmentation_v2.mha,5,988.3677024,38
362_pos-prone_colon_segmentation_v2.mha,1,1656849.425048828,10480
362_pos-prone_colon_segmentation_v2.mha,2,1030.736083984375,2
362_pos-supine_colon_segmentation_v2.mha,1,1630781.3647460938,5403
